"sample","Biosynthesis","Degradation","Structure","metabolic_function","richness.y","neutral.y","phylo.y","mapped.y","total.y","metabolic_capacity","richness","neutral","phylo","mapped","total","sampleID","captureID","specimen","animal","sample_type","species","order","development","sampling_areaEHI","sampling_date","country","geographic_location","latitude","longitude","n_extractions","n_libraries","n_indexed_libraries","n_sequenced_datasets","host_data","metagenomic_data","n_MAGs","sex","bm","repro","sampling_site","area_type","macroarea","metapop","index200","index500","x","y","month","year","season","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C"
"EHI01471",0.343455047431491,0.171913685173891,0.352767987860605,0.257684366302691,1644,226.663,5.706,3.842,4.922,0.63295806189225,1644,226.663,5.706,3.842,4.922,"AAV72","SD0044003","SD00440","5939","Faecal","Sciurus carolinensis","Rodentia","Adult","AddaNord",2021-01-14,"Italy","Lombardy, AddaNord",4556,952,1,1,1,1,"0.051","4.642",470,"M",490,"breeding","C03-02","rural","AN","AN","0.13","0.146",9524899,45563423,1,2021,"winter","0.7287",31557008,337484,"0.0383796049864197",4642488395,50665781,"0.0465862558780912",188799128208744,"0.883353488689905"
"EHI01472",0.371862901851041,0.182693450206132,0.3178153696222,0.277278176028586,1638,154.852,6.662,1.079,5.074,0.660494808597906,1638,154.852,6.662,1.079,5.074,"ABA27","SD0031101","SD00311","4910","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-03-09,"Italy","Lombardy, Pineta",4576,89,1,1,1,1,"3.347","1.441",164,"M",320,"breeding","PIN-CAPR","suburban","PINS","PIN","0.464","0.416",8904471,45757363,3,2021,"spring-summer","0.7286",32550894,22403100,"0.0376846530438485",1441149797,3347051432,"0.0562963694164578",189365706810751,"0.750910038108319"
"EHI01473",0.347828078354016,0.177171989791015,0.356327232687037,0.262500034072515,1641,308.405,7.537,2.486,3.219,0.643775812374043,1641,308.405,7.537,2.486,3.219,"ABB09","SD0035802","SD00358","5637","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2021-03-23,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.058","3.03",544,"M",540,"breeding","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,3,2021,"spring-summer","0.7144",20820422,391181,"0.0298367157889243",3029920363,58439084,"0.0406172862631951",19413008948751,"0.781540398686881"
"EHI01474",0.343503833470271,0.168537535832851,0.306096619203972,0.256020684651561,1618,85.842,5.186,2.875,3.878,0.614073575704446,1618,85.842,5.186,2.875,3.878,"AAV84","SD0043001","SD00430","5799","Faecal","Sciurus vulgaris","Rodentia","Adult","Pineta",2021-01-29,"Italy","Lombardy, Pineta",4578,891,1,1,1,1,"0.22","3.483",90,"M",260,"nonbreeding","PIN","suburban","PINR","PIN","0.122","0.279",8910721,45778953,1,2021,"winter","0.6754",25027138,1555202,"0.0319251358534937",3483421244,220329228,"0.0449013826473863",179769376367938,"0.921822872964593"
"EHI01475",0.356835524769772,0.177703824049186,0.343734547561807,0.267269674409479,1634,213.119,6.536,4.648,5.881,0.64911753133956,1634,213.119,6.536,4.648,5.881,"AAU62","SD0043601","SD00436","5933","Faecal","Sciurus carolinensis","Rodentia","Adult","AddaNord",2020-11-11,"Italy","Lombardy, AddaNord",4556,953,1,1,1,1,"0.055","5.589",473,"F",550,"nonbreeding","C03-02","rural","AN","AN","0.13","0.146",9524899,45563423,11,2020,"autumn","0.7316",38046140,369919,"0.0295298249237026",5588756801,54698816,"0.0403222051496238",189279259371956,"0.904120975629594"
"EHI01476",0.386114332725641,0.211282330632386,0.389089810908941,0.298698331679014,1489,27.957,4.559,5.396,6.718,0.727093266994341,1489,27.957,4.559,5.396,6.718,"ACH48","SD0172201","SD01722","5797","Faecal","Sciurus vulgaris","Rodentia","Adult","Varese",2021-08-11,"Italy","Lombardy, Varese",4582,881,1,1,1,1,"0.128","6.337",139,"F",265,"nonbreeding","Palace","suburban","VAS","VA","0.37","0.561",8808913,45823564,8,2021,"spring-summer","0.7376",43475306,851871,"0.0292090897633739",6337228308,127780656,"0.0375882289209561",171648560649301,"0.973924537768638"
"EHI01478",0.284936593081265,0.131278539878132,0.232283806533528,0.208107566479699,606,7.153,1.274,7.483,14.634,0.493643068470573,606,7.153,1.274,7.483,14.634,"AAV76","SD0038503","SD00385","5668","Faecal","Sciurus vulgaris","Rodentia","Adult","Golasecca",2021-01-12,"Italy","Lombardy, Golasecca",4569,866,1,1,1,1,"5.488","8.641",295,"F",270,"nonbreeding","GS","rural","GS","GS","0.0635","0.0985",865614,45687981,1,2021,"winter","0.9054",94961782,36353430,"0.0266234004650595",8640822197,5487529086,"0.0345444774908391",151020556432629,"0.996077703255848"
"EHI01480",0.353743691201931,0.161091132448545,0.327594724162995,0.257417411825238,1665,159.911,6.677,20.56,26.785,0.624033065038142,1665,159.911,6.677,20.56,26.785,"AAB24","SD0044101","SD00441","5941","Faecal","Sciurus carolinensis","Rodentia","Adult","AddaNord",2020-11-10,"Italy","Lombardy, AddaNord",4557,953,1,1,1,1,"0.606","25.019",539,"M",530,"nonbreeding","C03-03","urban","AN2","AN","0.59","0.631",9529524,45573628,11,2020,"autumn","0.7421",172977692,4165312,"0.0313045465474848",25018898098,605861753,"0.0433221734558985",187383274104424,"0.972522363853154"
"EHI01482",0.339686093630002,0.166961705646601,0.343419020366226,0.253323899638302,1653,313.761,7.693,1.896,2.73,0.621120806065346,1653,313.761,7.693,1.896,2.73,"AAV05","SD0034102","SD00341","5604","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2020-12-10,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.203","2.416",542,"F",550,"nonbreeding","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,12,2020,"winter","0.7034",17716754,1373376,"0.026459331184704",2416450119,203365762,"0.04026915052209",196338864785633,"0.722471198653093"
"EHI01483",0.257421329829826,0.118345903788301,0.248309466507941,0.187883616809063,1500,31.125,4.509,1.623,5.926,0.458537055787441,1500,31.125,4.509,1.623,5.926,"ADV66","SD0172202","SD01722","5797","Faecal","Sciurus vulgaris","Rodentia","Adult","Varese",2021-09-27,"Italy","Lombardy, Varese",4582,881,1,1,1,1,"1.099","4.521",116,"F",325,"nonbreeding","Palace","suburban","VAS","VA","0.37","0.561",8808913,45823564,9,2021,"autumn","0.6294",37878748,7381218,"0.0412496969003601",4520936787,1099011941,"0.0516885534558084",20089234564791,"0.638330840772636"
